<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.24	06:30:00	4036.288	4037.349	4033.225	4034.046	2359	0	240
2026.07.24	06:45:00	4034.016	4038.746	4031.787	4035.802	2567	0	240
2026.07.24	07:00:00	4035.748	4047.334	4034.905	4045.269	3372	0	240
2026.07.24	07:15:00	4045.577	4050.921	4043.893	4048.610	2645	0	240
2026.07.24	07:30:00	4048.844	4053.763	4045.931	4048.312	2351	0	240
2026.07.24	07:45:00	4048.369	4049.758	4045.843	4048.339	1829	0	240
2026.07.24	08:00:00	4048.216	4049.154	4045.060	4046.747	2099	0	240
2026.07.24	08:15:00	4046.636	4052.417	4045.103	4052.348	2090	0	240
2026.07.24	08:30:00	4052.384	4055.579	4048.913	4054.514	1944	0	240
2026.07.24	08:45:00	4054.672	4058.909	4052.219	4057.416	1881	0	240
2026.07.24	09:00:00	4057.481	4060.919	4053.223	4054.005	2168	0	240
2026.07.24	09:15:00	4054.245	4056.481	4052.511	4053.094	1810	0	240
2026.07.24	09:30:00	4053.042	4056.325	4051.527	4055.706	1727	0	240
2026.07.24	09:45:00	4055.827	4059.981	4054.499	4059.676	1531	0	240
2026.07.24	10:00:00	4059.728	4061.548	4057.744	4058.214	1794	0	240
2026.07.24	10:15:00	4058.242	4063.747	4057.413	4061.811	1593	0	240
2026.07.24	10:30:00	4062.008	4063.950	4058.220	4058.508	1456	0	240
2026.07.24	10:45:00	4058.621	4060.390	4057.058	4059.922	1432	0	240
2026.07.24	11:00:00	4060.031	4063.498	4058.519	4061.396	1569	0	240
2026.07.24	11:15:00	4061.452	4062.133	4059.060	4059.296	1224	0	240
2026.07.24	11:30:00	4059.006	4060.491	4055.106	4055.409	1787	0	240
2026.07.24	11:45:00	4055.400	4061.763	4051.455	4057.666	2662	0	240
2026.07.24	12:00:00	4057.637	4058.567	4052.430	4056.481	2360	0	240
2026.07.24	12:15:00	4056.478	4060.233	4054.669	4059.705	2570	0	240
2026.07.24	12:30:00	4059.705	4059.705	4051.934	4054.948	2566	0	240
2026.07.24	12:45:00	4054.936	4056.461	4051.737	4055.919	2241	0	240
2026.07.24	13:00:00	4056.005	4058.589	4044.563	4048.226	4123	0	240
2026.07.24	13:15:00	4047.922	4049.475	4044.690	4046.344	2909	0	240
2026.07.24	13:30:00	4046.478	4056.712	4044.518	4051.941	5498	0	240
2026.07.24	13:45:00	4052.003	4068.627	4048.308	4067.346	5053	0	240
2026.07.24	14:00:00	4067.308	4070.011	4057.296	4058.889	5005	0	240
2026.07.24	14:15:00	4058.939	4069.338	4055.820	4065.826	5008	0	240
2026.07.24	14:30:00	4066.196	4068.093	4059.168	4060.191	3943	0	240
2026.07.24	14:45:00	4060.556	4066.441	4058.504	4063.433	3569	0	240
2026.07.24	15:00:00	4063.487	4076.636	4061.740	4074.495	5542	0	240
2026.07.24	15:15:00	4074.446	4082.082	4071.766	4074.912	7135	0	240
2026.07.24	15:30:00	4074.978	4079.626	4071.570	4072.053	4303	0	240
2026.07.24	15:45:00	4072.104	4077.892	4070.719	4077.462	2933	0	240
2026.07.24	16:00:00	4077.288	4077.617	4074.286	4074.939	2179	0	240
2026.07.24	16:15:00	4074.924	4078.188	4073.476	4073.768	1922	0	240
2026.07.24	16:30:00	4073.820	4074.033	4066.507	4067.838	2516	0	240
2026.07.24	16:45:00	4067.780	4067.855	4064.030	4066.912	2006	0	240
2026.07.24	17:00:00	4067.033	4068.496	4062.948	4064.356	2363	0	240
2026.07.24	17:15:00	4064.108	4069.927	4063.508	4068.181	2184	0	240
2026.07.24	17:30:00	4068.317	4069.923	4066.025	4066.582	1764	0	240
2026.07.24	17:45:00	4066.583	4067.325	4063.077	4063.428	1587	0	240
2026.07.24	18:00:00	4063.479	4064.644	4061.139	4061.539	1653	0	240
2026.07.24	18:15:00	4061.780	4063.100	4054.798	4055.328	2042	0	240
2026.07.24	18:30:00	4055.442	4057.009	4051.201	4052.290	2154	0	240
2026.07.24	18:45:00	4052.287	4055.955	4051.686	4054.474	1517	0	240
2026.07.24	19:00:00	4054.616	4056.496	4052.049	4052.364	2008	0	240
2026.07.24	19:15:00	4052.210	4052.567	4049.084	4051.319	1749	0	240
2026.07.24	19:30:00	4051.564	4057.964	4051.169	4056.792	2231	0	240
2026.07.24	19:45:00	4056.847	4057.457	4052.741	4053.557	1746	0	240
2026.07.24	20:00:00	4053.667	4055.378	4052.110	4052.604	1071	0	240
2026.07.24	20:15:00	4052.617	4054.821	4051.928	4053.742	1069	0	240
2026.07.24	20:30:00	4053.590	4056.111	4051.680	4055.269	999	0	240
2026.07.24	20:45:00	4055.248	4056.161	4052.016	4052.932	1045	0	240
2026.07.26	22:00:00	4091.771	4096.553	4085.778	4087.266	1723	0	260
2026.07.26	22:15:00	4087.321	4090.115	4083.688	4086.578	1418	0	260
2026.07.26	22:30:00	4086.513	4093.056	4085.483	4091.152	1164	0	260
2026.07.26	22:45:00	4091.116	4093.761	4088.861	4089.778	1161	0	260
2026.07.26	23:00:00	4089.705	4091.305	4084.307	4084.674	1052	0	240
2026.07.26	23:15:00	4084.674	4086.325	4083.583	4084.745	1175	0	240
2026.07.26	23:30:00	4084.823	4089.205	4084.555	4088.848	1015	0	240
2026.07.26	23:45:00	4088.849	4096.331	4088.076	4094.171	2273	0	240
2026.07.27	00:00:00	4094.295	4116.170	4093.731	4115.378	5587	0	240
2026.07.27	00:15:00	4115.688	4115.688	4090.581	4094.383	4822	0	240
2026.07.27	00:30:00	4094.287	4102.545	4093.525	4099.937	3248	0	240
2026.07.27	00:45:00	4099.636	4109.323	4099.157	4100.688	3673	0	240
2026.07.27	01:00:00	4100.891	4112.638	4100.664	4106.962	7563	0	240
2026.07.27	01:15:00	4107.273	4109.262	4096.910	4100.052	4620	0	240
2026.07.27	01:30:00	4099.990	4104.405	4097.799	4102.765	3825	0	240
2026.07.27	01:45:00	4102.818	4110.206	4102.618	4109.990	3348	0	240
2026.07.27	02:00:00	4110.080	4111.041	4103.162	4105.360	3347	0	240
2026.07.27	02:15:00	4105.556	4105.927	4101.883	4103.116	2031	0	240
2026.07.27	02:30:00	4103.231	4103.283	4095.680	4096.604	2888	0	240
2026.07.27	02:45:00	4096.548	4097.765	4093.622	4093.754	2061	0	240
2026.07.27	03:00:00	4093.453	4095.845	4088.910	4092.036	2730	0	240
2026.07.27	03:15:00	4092.155	4093.505	4085.203	4085.680	2186	0	240
2026.07.27	03:30:00	4085.609	4090.875	4085.200	4089.672	2085	0	240
2026.07.27	03:45:00	4089.659	4091.079	4088.328	4090.842	1275	0	240
2026.07.27	04:00:00	4090.894	4092.818	4088.482	4089.923	1687	0	240
2026.07.27	04:15:00	4089.852	4090.472	4086.995	4088.934	1555	0	240
2026.07.27	04:30:00	4088.983	4092.314	4088.983	4090.347	1504	0	240
2026.07.27	04:45:00	4090.639	4091.302	4089.234	4090.297	1254	0	240
